"idroche","nom","x","y","z"
"11_1_13",NA,7.44325429489686,44.0703752318976,"2378,27"
"11_1_14",NA,7.44345406477223,44.0702849347788,"2384,99"
"11_1_15",NA,7.44361282784513,44.0702931403943,"2391,88"
"11_1_16@a",NA,7.44378241768047,44.0702750134117,"2399,51"
"11_1_16@b",NA,7.44368786013143,44.0704533033655,"2402,53"
"11_1_16@c",NA,7.4439021090604,44.0704211063014,"2412,55"
"11_1_16@d",NA,7.44391467972343,44.070254234664,"2405,06"
"11_1_16A",NA,7.44370160650826,44.0703605082935,"2399,01"
"11_1_16B",NA,7.44371875495026,44.0703425448579,"2398,81"
"11_1_16C",NA,7.44372705630229,44.0702868651791,"2397,61"
"11_1_16D",NA,7.44374946602454,44.0702727942166,"2397,79"
"11_1_16E",NA,7.44398672394916,44.0701830476793,"2405,77"
"11_1_17@b",NA,7.44417645286084,44.0700497572332,"2409,62"
"11_1_17@c",NA,7.44420091606149,44.0696988210599,"2410,97"
"11_1_17@d",NA,7.4448661438815,44.0698272012111,"2460,24"
"11_1_17@e",NA,7.44477981558701,44.0695905623212,"2453,76"
"11_1_17@f",NA,7.44419852497313,44.0700924503283,"2410,87"
"11_1_17@h",NA,7.4448639153546,44.0698440036621,"2460,62"
"11_1_17A",NA,7.44409310289144,44.0701405749213,"2407,76"
"11_1_17B",NA,7.44416247252207,44.0701214852036,"2410,11"
"11_1_18",NA,7.44418816112227,44.0706940548953,"2423,85"
"11_1_19@a",NA,7.44359024006946,44.07188768498,"2403,91"
"11_1_19A",NA,7.44415418313993,44.0709401044467,"2430,24"
"11_1_19B",NA,7.44396154292507,44.0711908686501,"2422,86"
"11_1_19C",NA,7.44395216749092,44.0712182347788,"2421,78"
"11_1_1A",NA,7.44269910362855,44.0702441114813,"2341,88"
"11_1_1B",NA,7.44287908827635,44.0702083930022,"2346,71"
"11_1_1C",NA,7.44286522169445,44.0701481317021,"2342,52"
"11_1_1D",NA,7.44270088833727,44.0702730133092,"2342,93"
"11_1_20",NA,7.44370277586746,44.0711698482258,"2404,71"
"11_1_20@a",NA,7.44365941547019,44.0712196578822,"2400,09"
"11_1_20@b",NA,7.44380094991057,44.0710917139096,"2412,43"
"11_1_21@a",NA,7.4432807122589,44.0712413814924,"2385,9"
"11_1_21A",NA,7.4432320932383,44.0713448148033,"2382,74"
"11_1_21B",NA,7.44331204097142,44.0712067957551,"2387,39"
"11_1_21C",NA,7.44303385024501,44.0711661062795,"2378,07"
"11_1_22@a",NA,7.4433519253581,44.0715353330512,"2382,23"
"11_1_22@b",NA,7.4433638573189,44.0714666304405,"2384,92"
"11_1_22@c",NA,7.44285961805492,44.071857290572,"2358,91"
"11_1_22@f",NA,7.44290700785873,44.0719178375984,"2360,9"
"11_1_22@g",NA,7.44308084134215,44.071786979188,"2369,54"
"11_1_22C",NA,7.44321534299994,44.0716674498826,"2373,81"
"11_1_22D",NA,7.44307080201751,44.0717604683019,"2369,03"
"11_1_22E",NA,7.44290360928484,44.0717864043412,"2361,93"
"11_1_23@a",NA,7.44281161469027,44.0728615207682,"2370,89"
"11_1_23@b",NA,7.44287636496868,44.0728456089523,"2373,66"
"11_1_23@c",NA,7.44269986628748,44.0715418896375,"2353,8"
"11_1_23@g",NA,7.44210518083671,44.0716634701661,"2327,94"
"11_1_23A",NA,7.44255658906608,44.0721627468958,"2351,15"
"11_1_23B",NA,7.442477985631,44.0723900603601,"2348,56"
"11_1_23C",NA,7.44256809104964,44.0724100333163,"2352,7"
"11_1_2@a",NA,7.44268120820343,44.0704160207447,"2347,9"
"11_1_2@b",NA,7.44241149485023,44.0704168848686,"2349,05"
"11_1_2A",NA,7.44246225376642,44.0703619916573,"2343,93"
"11_1_2B",NA,7.44250227372757,44.0703921335362,"2347,92"
"11_1_2C",NA,7.44260371919126,44.0704422965656,"2349,37"
"11_1_3",NA,7.44269343542598,44.0704939495305,"2352,08"
"11_1_3@a",NA,7.44266650692074,44.0707589407042,"2359,58"
"11_1_3A",NA,7.44266554251398,44.0705955185931,"2356,77"
"11_1_4",NA,7.44245851068569,44.0709358753806,"2355,19"
"11_1_4@a",NA,7.44251354464049,44.0709040302767,"2356,7"
"11_1_4@b",NA,7.44245254771055,44.0708697799659,"2354,4"
"11_1_4@c",NA,7.44251565366304,44.0708204319618,"2355,91"
"11_1_4@d",NA,7.44254990286906,44.0708791309092,"2357,36"
"11_1_4A",NA,7.44255892946633,44.0710174727101,"2359,24"
"11_1_5@a",NA,7.44161438564503,44.0711017385432,"2327,93"
"11_1_5A",NA,7.44213899809181,44.071167280228,"2343,86"
"11_1_5B",NA,7.4417947465337,44.0710987506565,"2333,43"
"11_1_5C",NA,7.44211135156698,44.0712200627768,"2342,55"
"11_1_7@a",NA,7.44310093830425,44.0704806842174,"2372,47"
"11_1_7A",NA,7.44280791403097,44.0706527634896,"2366,21"
